iter	RMSE
0	0.9318354241
1	0.9210306199
2	0.9104660474
3	0.9002641834
4	0.8907837328
5	0.8835868433
6	0.8759351267
7	0.8692537519
8	0.8623116053
9	0.8566058056
10	0.8506878203
11	0.8453538287
12	0.8406829685
13	0.8359622332
14	0.8317448504
15	0.8274692354
16	0.823278766
17	0.8194244686
18	0.8156052295
19	0.8116557653
20	0.8082881548
21	0.8059218815
22	0.8025283572
23	0.7999726997
24	0.7971697549
25	0.7948501942
26	0.7922959187
27	0.7900846105
28	0.7877942389
29	0.7855426159
30	0.7833425501
31	0.7812756709
32	0.7796454336
33	0.7777283265
34	0.7760244214
35	0.7748611569
36	0.7733379731
37	0.7713564729
38	0.7694102453
39	0.7673858512
40	0.7662562801
41	0.7650061476
42	0.763977445
43	0.7623984935
44	0.7606778887
45	0.7592068651
46	0.7583699373
47	0.757100935
48	0.7562135395
49	0.7544738256
50	0.7536349898
51	0.7523715499
52	0.7508026861
53	0.7498069057
54	0.7490376113
55	0.7483004933
56	0.747272941
57	0.7459972794
58	0.7454338373
59	0.7445880146
60	0.7434854131
61	0.7428862799
62	0.7423227561
63	0.7416093038
64	0.741118278
65	0.7403417646
66	0.7396070616
67	0.7391417595
68	0.7379283926
69	0.7374132912
70	0.7366875154
71	0.7357780222
72	0.7351121826
73	0.7345086898
74	0.7334921275
75	0.7330217393
76	0.7318794642
77	0.7313390569
78	0.7305759785
79	0.729621625
80	0.728916429
81	0.7282029017
82	0.7274933637
83	0.7266192172
84	0.7261901368
85	0.725405884
86	0.7247440569
87	0.7242092436
88	0.7234960257
89	0.7229490386
90	0.7223631513
91	0.7216114099
92	0.7209160868
93	0.7203727222
94	0.7199439001
95	0.719416999
96	0.7186262322
97	0.7177571637
98	0.7172952794
99	0.7168145901
100	0.7162378786
101	0.7154618094
102	0.714678703
103	0.71429548
104	0.7136818002
105	0.7133781531
106	0.7125575025
107	0.7115355971
108	0.7112289762
109	0.7103732825
110	0.70983987
111	0.709375546
112	0.7089973495
113	0.7085991197
114	0.7077467941
115	0.7071513535
116	0.7066866639
117	0.7062045103
118	0.7058661455
119	0.7055758749
120	0.705284358
121	0.704993607
122	0.7044875248
123	0.7040922815
124	0.7038014197
125	0.7032266373
126	0.702672751
127	0.7023766322
128	0.7020633577
129	0.7016586779
130	0.7012952919
131	0.7008266629
132	0.7003694214
133	0.7001540877
134	0.6995498613
135	0.6986653652
136	0.6982784558
137	0.697863287
138	0.6976043914
139	0.6967838246
140	0.6962803142
141	0.6955053258
142	0.6948431617
143	0.6943820961
144	0.6936545122
145	0.6930688573
146	0.6924151265
147	0.6920015475
148	0.6911494339
149	0.6907891385
150	0.6905930365
151	0.690196883
152	0.6897683847
153	0.6891835818
154	0.6887389535
155	0.6883048906
156	0.6881688019
157	0.6876226425
158	0.6870488749
159	0.6864816143
160	0.6859742524
161	0.6853156649
162	0.684945684
163	0.6844166935
164	0.6840771796
165	0.6834410409
166	0.6829694462
167	0.6825212323
168	0.6822413628
169	0.6818479974
170	0.6814848113
171	0.681095515
172	0.680761608
173	0.6806306656
174	0.6799277024
175	0.6795057377
176	0.6788901926
177	0.677907471
178	0.6774519765
179	0.6771032708
180	0.6767026554
181	0.6762778727
182	0.6757951139
183	0.6751192729
184	0.6745370512
185	0.6742507926
186	0.6738715499
187	0.6735539044
188	0.6730795155
189	0.6727762272
190	0.6725132232
191	0.6717814478
192	0.6715586124
193	0.671153461
194	0.6703964857
195	0.6698712013
196	0.6695336334
197	0.6690085018
198	0.6685144577
199	0.6682778513
200	0.6673332624
201	0.6670067615
202	0.6665939131
203	0.665938702
204	0.6655194579
205	0.6650296893
206	0.6646423555
207	0.6641311032
208	0.6639929496
209	0.6636618841
210	0.663276812
211	0.6627570948
212	0.6623638948
213	0.6618812449
214	0.6614941232
215	0.66122627
216	0.6608788258
217	0.660554733
218	0.6601218548
219	0.6597371194
220	0.6593715101
221	0.6589519094
222	0.658680997
223	0.6582891209
224	0.6581106606
225	0.6575452747
226	0.6572815152
227	0.6568703463
228	0.6564650858
229	0.6558805536
230	0.6553564799
231	0.6551223177
232	0.6548207698
233	0.6544166263
234	0.6536853036
235	0.6534718355
236	0.6531717126
237	0.6523917661
238	0.651709076
239	0.6512264247
240	0.6504869956
241	0.6499230498
242	0.6493836212
243	0.6490252458
244	0.6489114846
245	0.6484192336
246	0.6480922106
247	0.6475211776
248	0.6471474834
249	0.6467564971
250	0.6462999423
251	0.6455447883
252	0.645082985
253	0.6448060978
254	0.6442993541
255	0.6439222383
256	0.6435951202
257	0.6431611291
258	0.6430916716
259	0.6426716025
260	0.642318207
261	0.641836169
262	0.6413861704
263	0.6411595583
264	0.6410576504
265	0.6406269709
266	0.6399483952
267	0.6397153208
268	0.6394775294
269	0.6392993316
270	0.6389941824
271	0.6389403444
272	0.6386030113
273	0.6385099686
274	0.6380318993
275	0.6377597708
276	0.6371952162
277	0.6368711027
278	0.6366582155
279	0.6363503978
280	0.6359931666
281	0.6356102053
282	0.63513667
283	0.6346686143
284	0.6340618889
285	0.6335515072
286	0.6333708293
287	0.6330342057
288	0.6326589186
289	0.6322342547
290	0.6318694588
291	0.6316444713
292	0.6312435957
293	0.6307599062
294	0.6305722015
295	0.6300882914
296	0.6295219983
297	0.6289861447
298	0.6285853626
299	0.6281875349
300	0.627589419
301	0.6272660725
302	0.626842288
303	0.6263919018
304	0.625995624
305	0.6255839631
306	0.6252147615
307	0.6248478815
308	0.624458216
309	0.6241048599
310	0.6238239852
311	0.6233304785
312	0.6231132658
313	0.622835758
314	0.6222916039
315	0.6219942688
316	0.621506588
317	0.6210359
318	0.6209137698
319	0.6206602457
320	0.6201403841
321	0.6196859119
322	0.6190990582
323	0.618850433
324	0.6185972868
325	0.6183566082
326	0.6180086643
327	0.6176210587
328	0.6170987806
329	0.6168921144
330	0.6166113877
331	0.6161819953
332	0.6157039515
333	0.6152494316
334	0.6150227323
335	0.6145359941
336	0.6141899714
337	0.6139015359
338	0.6135639709
339	0.6132258757
340	0.6129768022
341	0.6128940311
342	0.612565531
343	0.6125586688
344	0.6125521171
345	0.6121545121
346	0.6117985851
347	0.6114288186
348	0.6112249133
349	0.6110390503
350	0.6106931747
351	0.6103601008
352	0.6100025553
353	0.6096628905
354	0.609392988
355	0.6091389697
356	0.6088035326
357	0.6083370787
358	0.6078849465
359	0.6074208067
360	0.607099242
361	0.6066192476
362	0.606353953
363	0.6060109494
364	0.60536442
365	0.6050846397
366	0.6046878578
367	0.6044175016
368	0.6040285321
369	0.6035871939
370	0.603257981
371	0.6028008754
372	0.6026438699
373	0.6022125479
374	0.6017431786
375	0.6014371456
376	0.6011732635
377	0.6009528699
378	0.6004828592
379	0.6001347993
380	0.5997116017
381	0.5991542765
