iter	Passed	Remaining
0	1	1959
1	3	1899
2	5	1836
3	7	1809
4	8	1775
5	10	1759
6	12	1705
7	13	1699
8	15	1666
9	16	1644
10	17	1602
11	19	1567
12	20	1555
13	21	1533
14	23	1513
15	24	1497
16	25	1482
17	26	1467
18	28	1450
19	29	1433
20	30	1419
21	31	1408
22	32	1398
23	34	1389
24	35	1377
25	36	1373
26	38	1371
27	39	1364
28	40	1359
29	41	1356
30	43	1351
31	44	1348
32	45	1344
33	47	1339
34	48	1335
35	49	1331
36	50	1324
37	52	1325
38	53	1321
39	54	1317
40	56	1315
41	57	1315
42	58	1310
43	60	1306
44	61	1304
45	62	1302
46	64	1298
47	65	1294
48	66	1289
49	67	1285
50	68	1283
51	70	1279
52	71	1279
53	72	1275
54	74	1272
55	75	1268
56	76	1264
57	77	1261
58	79	1260
59	80	1257
60	81	1253
61	82	1249
62	83	1247
63	85	1245
64	86	1244
65	87	1241
66	88	1238
67	90	1234
68	91	1232
69	92	1229
70	93	1227
71	95	1224
72	96	1223
73	97	1220
74	98	1217
75	99	1214
76	101	1213
77	102	1210
78	103	1211
79	105	1210
80	106	1208
81	107	1205
82	108	1203
83	110	1200
84	111	1197
85	112	1195
86	113	1193
87	114	1190
88	116	1188
89	117	1187
90	118	1184
91	119	1182
92	121	1180
93	122	1178
94	123	1175
95	124	1173
96	125	1170
97	127	1169
98	128	1166
99	129	1164
100	130	1161
101	131	1160
102	133	1159
103	134	1157
104	135	1155
105	136	1152
106	137	1150
107	139	1148
108	140	1146
109	141	1144
110	142	1142
111	143	1139
112	144	1137
113	146	1135
114	147	1133
115	148	1133
116	149	1131
117	151	1129
118	152	1127
119	153	1125
120	154	1123
121	155	1122
122	157	1120
123	158	1118
124	159	1117
125	160	1115
126	162	1113
127	163	1112
128	164	1110
129	165	1109
130	166	1107
131	168	1106
132	169	1104
133	170	1102
134	171	1100
135	172	1099
136	174	1097
137	175	1095
138	176	1093
139	177	1091
140	178	1089
141	180	1088
142	181	1086
143	182	1085
144	183	1083
145	185	1082
146	186	1081
147	187	1079
148	188	1077
149	189	1075
150	191	1074
151	192	1072
152	193	1070
153	194	1069
154	195	1067
155	197	1066
156	198	1064
157	201	1071
158	203	1077
159	205	1081
160	208	1084
161	210	1086
162	212	1089
163	214	1093
164	216	1093
165	217	1092
166	218	1091
167	220	1092
168	222	1093
169	224	1094
170	225	1095
171	227	1095
172	229	1098
173	231	1100
174	233	1102
175	235	1103
176	237	1103
177	239	1103
178	240	1104
179	242	1102
180	243	1102
181	245	1103
182	247	1102
183	248	1101
184	249	1100
185	250	1098
186	252	1096
187	253	1095
188	254	1093
189	256	1092
190	257	1090
191	258	1088
192	260	1088
193	261	1087
194	263	1087
195	264	1085
196	265	1083
197	267	1082
198	268	1080
199	269	1078
200	270	1077
201	272	1075
202	273	1072
203	274	1071
204	275	1070
205	277	1069
206	278	1068
207	280	1067
208	281	1065
209	282	1064
210	284	1062
211	285	1060
212	286	1058
213	287	1057
214	289	1055
215	290	1053
216	291	1052
217	292	1050
218	294	1048
219	295	1046
220	296	1044
221	297	1042
222	298	1041
223	299	1039
224	301	1037
225	302	1035
226	303	1033
227	304	1031
228	306	1030
229	307	1029
230	308	1027
231	309	1026
232	311	1024
233	312	1022
234	313	1021
235	314	1019
236	316	1017
237	317	1015
238	318	1013
239	319	1012
240	320	1010
241	322	1009
242	323	1008
243	324	1006
244	326	1004
245	327	1003
246	328	1001
247	329	999
248	330	998
249	332	996
250	333	994
251	334	992
252	335	991
253	336	989
254	338	988
255	339	986
256	340	985
257	342	984
258	343	982
259	344	981
260	346	979
261	347	977
262	348	976
263	349	974
264	350	972
265	351	971
266	353	969
267	354	967
268	355	966
269	356	964
270	357	962
271	359	961
272	360	959
273	361	957
274	362	956
275	363	954
276	364	952
277	366	950
278	367	949
279	368	947
280	369	945
281	370	944
282	372	942
283	373	941
284	374	939
285	375	938
286	376	936
287	378	934
288	379	933
289	380	931
290	381	930
291	382	928
292	384	927
293	385	925
294	386	923
295	387	922
296	388	920
297	390	919
298	391	917
299	392	916
300	393	914
301	395	912
302	396	911
303	397	911
304	399	909
305	400	907
306	401	906
307	402	905
308	404	904
309	405	902
310	406	901
311	408	899
312	409	898
313	410	896
314	411	895
315	413	894
316	414	893
317	416	892
318	417	891
319	418	890
320	420	889
321	421	888
322	423	887
323	424	885
324	425	883
325	427	882
326	428	881
327	429	880
328	430	878
329	431	876
330	433	875
331	434	874
332	435	872
333	437	871
334	438	870
335	439	868
336	440	867
337	442	865
338	443	864
339	444	862
340	445	861
341	446	859
342	448	858
343	448	855
344	449	853
345	450	851
346	452	850
347	453	849
348	454	847
349	455	846
350	456	844
351	458	843
352	459	842
353	460	840
354	461	839
355	463	837
356	464	836
357	465	834
358	466	833
359	468	832
360	469	830
361	470	829
362	471	827
363	473	826
364	474	825
365	475	823
366	476	822
367	477	820
368	479	819
369	480	817
370	481	816
371	482	814
372	484	813
373	485	813
374	487	811
375	488	810
376	489	808
377	490	807
378	491	805
379	492	804
380	494	802
381	495	801
382	496	799
383	497	798
384	498	796
385	500	795
386	501	794
387	502	793
388	504	791
389	505	790
390	506	788
391	507	787
392	508	786
393	510	784
394	511	783
395	512	781
396	513	780
397	514	778
398	515	776
399	517	775
400	518	774
401	519	772
402	520	771
403	521	770
404	522	768
405	524	766
406	525	765
407	526	763
408	527	762
409	528	761
410	530	759
411	531	758
412	532	757
413	533	755
414	535	754
415	536	752
416	537	751
417	538	749
418	539	748
419	540	746
